id,track.name,track.album.name,energy,danceability,acousticness,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,Hot Fuss,0.911,0.352,0.00121,0,1,0.0995,-5.23,1,0.0747,148.033,4,0.236
008KWijTsFnZRK3E7oGNxl,Derê / Vício / Nuvem - Ao Vivo,"Belo In Concert, Ep. 02 (Ao Vivo)",0.856,0.425,0.423,0.000034,2,0.936,-5.56,1,0.0678,109.927,4,0.669
00AMkgbeTKRbkfsZz3iBq9,Casa Do Sol,Armandinho Ao Vivo,0.744,0.673,0.547,0.000881,7,0.761,-7.635,1,0.038,131.985,4,0.657
00BBwHjAf8WWq4HcOtEJO1,Forgotten,Requiem,0.983,0.52,0.000971,0.016,4,0.419,-2.664,1,0.0859,95.962,4,0.329
00jpfco62YfQj1BBYCCuKH,Leve,Viejo Marihuano,0.802,0.663,0.188,0,0,0.166,-4.086,1,0.246,177.842,4,0.679
016HKF7A4O7tatoJ9BgZM1,Say It (Over And Over Again),Ballads (Deluxe Edition - Rudy Van Gelder Remaster),0.124,0.488,0.963,0.333,3,0.246,-13.038,1,0.0404,66.105,4,0.205
01wavOnjFBNgdMWBFYIAP4,50 Vezes - Ao Vivo,"Ao Cubo, Ao Vivo, Em Cores",0.65,0.561,0.816,0.00000161,7,0.952,-6.43,1,0.0277,147.899,4,0.597
02dRkCEc8Q5ch4TTcnLxOn,Nothing Breaks Like a Heart (feat. Miley Cyrus),Late Night Feelings,0.794,0.601,0.00987,0.00000136,7,0.418,-5.844,0,0.0671,114.066,4,0.244
02MWAaffLxlfxAUY7c5dvx,Heat Waves,Dreamland (+ Bonus Levels),0.525,0.761,0.44,0.0000067,11,0.0921,-6.9,1,0.0944,80.87,4,0.531
02VBYrHfVwfEWXk5DXyf0T,Leave The Door Open,An Evening With Silk Sonic,0.616,0.586,0.182,0,5,0.0927,-7.964,1,0.0324,148.088,4,0.719
02Ygt6qw1HQ0DxRcY9tr1D,Breca Novinha no Grau,Só Pedrada Rave de Favela,0.923,0.726,0.354,0,9,0.256,-2.245,1,0.128,123.139,4,0.776
0301nLjG0ti26rx5ZmfqtP,Scenario - LP Mix,The Low End Theory,0.6,0.795,0.112,0.000171,2,0.111,-14.004,1,0.341,101.78,4,0.633
045v5uW3ALrSnDB19vqbEe,Uai - Ao Vivo,Uai (Ao Vivo),0.701,0.726,0.527,0,1,0.391,-4.237,1,0.0651,104.954,4,0.625
04cCYxaUC2LObYVTGlRYBX,Eastern Standard Time,"Ska Kings of the First Wave with the Skatalites, The Ethiopians, And Don Drummond",0.523,0.816,0.618,0.411,0,0.0681,-9.937,1,0.0586,125.723,4,0.949
04eShjKTWijeJJqGnhxpYK,Scheherazade: The Tale of the Kalendar Prince,Rimsky-Korsakov: Scheherezade,0.0639,0.235,0.962,0.603,11,0.466,-24.404,0,0.049,120.736,3,0.0781
04KQ5fhrzEdfGB2L3OJJSv,Ucê Lembra,Ucê Lembra,0.743,0.779,0.265,0,1,0.315,-3.617,0,0.0578,119.977,4,0.55
04OW3p7V9ACVSttnuTfikE,Active,Active,0.577,0.896,0.0346,0.00000197,1,0.176,-5.501,1,0.329,139.935,4,0.61
04vzhKfl5HtPEgrdZJCZ7L,Bagulho Louco,Bagulho Louco,0.464,0.531,0.814,0.00000157,0,0.133,-9.882,0,0.346,170.085,4,0.643
055TcJ0BdCrW7qE8Yq5KRM,Bye Bye - Ao Vivo,"Todos Os Cantos, Vol. 1 (Ao Vivo)",0.798,0.738,0.12,0,0,0.92,-4.489,1,0.0572,115.916,4,0.439
05DZcUyOZDX4OR2mc1RIrg,Never End Up Broke,Never End Up Broke,0.806,0.679,0.0133,0,8,0.159,-4.175,1,0.325,85.955,4,0.614
05liOVVybQw3UyyrEOAcSw,Classless Act (feat. Vince Neil of Motley Crue),Classless Act (feat. Vince Neil of Mötley Crüe),0.981,0.457,0.000425,0,0,0.355,-2.26,1,0.135,94.991,4,0.201
05pd6p3qKhZddaEX9tUZV4,Barbie (feat. Danny Bond),Barbie (feat. Danny Bond),0.873,0.854,0.142,0,6,0.589,-4.862,1,0.274,150.093,4,0.965
06nmwVr0Ev16QnVXsQXSf1,Out Of Style,STILL SUCKS,0.944,0.475,0.0353,0,7,0.66,-4.19,1,0.396,158.071,4,0.441
