id,instrumentalness,energy,loudness,tempo,acousticness,danceability,liveness,key,mode,speechiness,valence,time_signature
1a2iF9XymafjRk56q7oCxo,0.00395,0.626,-11.821,126.877,0.0274,0.427,0.106,8,1,0.0385,0.743,4
1sxtxIKhRiQwuGpUwHoEHq,0.0351,0.756,-11.073,131.577,0.436,0.378,0.867,7,1,0.0673,0.838,4
2ROJOb98GorxStuOuZWcGd,0.053,0.648,-6.795,170.379,0.642,0.303,0.407,0,1,0.0512,0.644,3
44s75M70lhq25s3CiW0pxq,0.000634,0.738,-9.563,104.098,0.0315,0.638,0.211,9,1,0.0271,0.816,3
1yKah8BCP3Vgq2tPBOLKL0,5.08e-05,0.625,-5.219,107.338,0.491,0.321,0.345,2,0,0.0302,0.777,4
2hv2NiSq8p4pgL28pxcqAJ,0.00143,0.567,-11.426,141.345,0.0581,0.556,0.0907,9,0,0.0333,0.858,4
5MVMARaMoclifNmBtPu0dD,0.0463,0.874,-10.147,172.129,0.279,0.548,0.173,8,1,0.0463,0.966,4
61K6lqGyrl2Aerk0LjAZem,4.3e-05,0.0192,-19.952,169.254,0.989,0.629,0.106,4,1,0.0833,0.335,4
2Qj1FilGsXITZbFVmVeoLy,4.63e-05,0.496,-11.124,116.632,0.616,0.64,0.183,2,1,0.0413,0.954,4
2SL0h7FKhJ1O5DcvmvPqU5,0.000173,0.443,-9.113,129.888,0.0563,0.552,0.0864,9,0,0.0453,0.543,4
4c0Mgs559lG4sPiEC3XcxY,0.317,0.384,-16.204,102.597,0.418,0.872,0.0687,0,1,0.0388,0.938,4
5goa9CsIDXc9G0Df9dL9ft,0.000118,0.464,-11.622,175.465,0.807,0.447,0.249,2,1,0.12,0.62,3
3YGsgJqtIWKjMjZtKLk11Z,0.0418,0.736,-7.961,208.576,0.282,0.294,0.102,7,0,0.151,0.753,3
3ocm1Cf1Dk1ODrdBdybh82,0.012,0.483,-11.211,91.652,0.434,0.711,0.0284,11,1,0.0298,0.884,4
3XxBSvDZKH5YvZZjTpn6eR,0.0224,0.479,-8.483,53.905,0.585,0.277,0.16,5,0,0.0495,0.483,4
2Cg3GUkhjX96nO4p2WRlIa,0.0265,0.483,-12.209,122.863,0.15,0.705,0.202,1,1,0.0542,0.713,4
1oFxUEfggP19VJZ8LReLd5,0.000413,0.808,-5.814,115.016,0.794,0.696,0.473,7,1,0.117,0.661,4
2bIfM0ZOF4gxK1BeqH3Djm,0.00175,0.495,-11.603,118.066,0.239,0.792,0.074,0,1,0.0527,0.719,4
4Gia17DzXBhYFbYiJj6SyW,0.000418,0.625,-10.951,103.355,0.492,0.633,0.204,0,1,0.0436,0.841,4
512gC8sU5PxZAFrskHEfzk,0.0285,0.638,-7.262,122.621,0.125,0.5,0.199,2,1,0.0461,0.746,4
2FtX5tOFUVOyjcGQiuGR8f,0.065,0.921,-5.64,145.589,0.0488,0.353,0.314,2,1,0.0758,0.526,3
36ccrof5DFicLrejE4hEye,0.00246,0.519,-13.328,117.005,0.837,0.621,0.162,11,0,0.102,0.775,4
2mVp83pLkWJN03Ha8Txydf,7.01e-06,0.412,-7.19,144.185,0.581,0.449,0.452,2,1,0.0297,0.432,3
0RTjFVHvqjTdpX2NawwyXI,0.318,0.612,-9.764,118.381,0.101,0.678,0.164,4,1,0.0339,0.857,4
65VzqBb5ogD2xIFD8jetMG,8.13e-05,0.779,-9.159,113.487,0.573,0.519,0.286,4,1,0.0648,0.888,4
5PHnHhiVMiMjzYOqz7AJQQ,0.00144,0.447,-9.442,73.694,0.433,0.553,0.0947,0,1,0.0291,0.314,4
4NQfrmGs9iQXVQI9IpRhjM,0.442,0.46,-8.759,90.768,0.344,0.547,0.0983,11,0,0.0256,0.543,4
7BbQQzr1suaBHpJDXDXIj9,7.66e-05,0.277,-12.101,99.83,0.89,0.467,0.2,8,1,0.0283,0.535,3
0tYJ6uY0ETQOtOM8KySMSp,0.00728,0.49,-8.725,67.591,0.736,0.554,0.327,9,1,0.0267,0.578,4
1i7nQGgwloILcp6ZftH2Qa,0.00194,0.301,-11.402,100.979,0.545,0.606,0.0419,0,1,0.0423,0.457,4
0h06YSqzwbAU9ZDuIvw8pk,3.15e-05,0.525,-11.582,124.569,0.3,0.595,0.197,11,0,0.0499,0.826,4
7p5Xpx7dd9wSPJF4Q4Nfbu,2.19e-05,0.593,-10.078,92.82,0.468,0.686,0.352,0,1,0.0597,0.946,4
1HRx7dciQYCv76XvbBDAGM,0.188,0.695,-9.88,131.307,0.00393,0.537,0.084,11,1,0.0377,0.77,4
6gJnxMZphJt3sk2JJXTkoJ,0.00666,0.395,-12.828,155.839,0.269,0.646,0.0741,1,0,0.254,0.848,4
3kkCpDqhrOEBf0eOR2igEE,0.00309,0.905,-6.805,107.955,0.0962,0.641,0.114,9,1,0.0542,0.789,4
1cRTAPP2FG9h2WiYMOIVIK,0.435,0.611,-6.268,178.191,0.0226,0.294,0.114,2,1,0.0348,0.567,3
5bC6ONDsL88snGN6QasjZH,0.0213,0.436,-9.617,114.216,0.597,0.745,0.61,5,0,0.043,0.771,4
57W5o6ojTFtydDMZ0mDDB3,0.896,0.657,-10.33,145.359,0.751,0.566,0.156,4,1,0.0693,0.643,4
5Oc0vLGWdEWeCqIU8zyELt,3.59e-05,0.542,-10.862,133.285,0.706,0.563,0.355,9,1,0.0962,0.785,4
35X1ucjCm7rHK80qJ413ci,2.46e-05,0.584,-8.864,118.017,0.47,0.69,0.297,3,1,0.0746,0.809,3
6tilCYbheGMHo3Hw4F22hF,0.0723,0.496,-11.399,110.932,0.237,0.767,0.0853,10,1,0.0307,0.751,4
4lbqUtqgX3dITgYJMBjCDS,0.00812,0.723,-13.898,126.737,0.165,0.536,0.288,8,0,0.0415,0.916,4
3gg0xEc2b4eEbYySLmfFU1,0.0112,0.235,-15.276,87.226,0.527,0.73,0.0663,0,1,0.0355,0.624,4
7mNFrf8IfgaWMFCz64CtK4,0.0181,0.367,-6.946,148.959,0.857,0.679,0.103,4,1,0.0534,0.406,4
2wnjZXcAT3rCjjqxLeHjv7,0.000119,0.526,-11.352,167.936,0.0339,0.565,0.11,0,1,0.0365,0.637,4
1TRIYxcVJYPki5AX2hZzZT,0.254,0.496,-6.844,140.394,0.713,0.639,0.0545,1,0,0.0375,0.467,3
227N0C668UQBiN3T4HFzoQ,0.0293,0.684,-5.843,180.523,0.0742,0.397,0.0689,0,1,0.0722,0.72,3
58PSYdY0GFg0LFb2PxYk4T,0.000215,0.735,-10.882,111.129,0.44,0.598,0.681,2,1,0.0973,0.615,3
