id,instrumentalness,energy,loudness,tempo
0x2wtJbtJrox3SDmnMj97x,6.9e-05,0.74,-7.706,133.363
0v1XpBHnsbkCn7iJ9Ucr1l,1.35e-05,0.913,-4.063,119.992
2zYzyRzz6pRmhPzyfMEC8s,0.00158,0.913,-4.793,115.728
3MODES4TNtygekLl146Dxd,0.000852,0.607,-11.367,98.429
2N2yrmodOnVF10mKvItC9P,0.00379,0.59,-8.638,124.635
0gaMmmhGi5buPXpquSAfxg,1.44e-05,0.487,-11.633,81.972
2kj5f1eRhUFhW6K0qUwoD8,0.0,0.722,-6.518,144.209
37ZJ0p5Jm13JPevGcx4SkF,0.000214,0.887,-3.757,122.511
57bgtoPSgt236HzfBOd8kj,0.0117,0.89,-5.175,133.52
2hAt6y582UsTcwvCKTcTMs,0.122,0.992,-6.43,138.973
0QwZfbw26QeUoIy82Z2jYp,7.61e-05,0.717,-9.192,93.584
7LygtNjQ65PSdzVjUnHXQb,0.0,0.946,-4.591,177.489
3Mmt6Xk0H6VR92PEp6x3hP,0.0,0.375,-9.601,83.635
0rmGAIH9LNJewFw7nKzZnc,2.25e-06,0.96,-2.947,122.803
0rFWuqFgHAfuzE8uSB9TWR,0.113,0.777,-8.671,152.5
6v5VsfCYKdrkQBTMhAlkDr,0.246,0.945,-7.978,111.705
2seAsYG2FiexpXj8UhG9Zk,0.212,0.97,-7.324,152.183
1kuL80G4YwSbuGGNPLRFWF,0.0166,0.98,-7.181,122.129
7o2CTH4ctstm8TNelqjb51,0.0996,0.91,-7.766,125.116
3N0QIWlUDUsQJ3UDhKtMRC,0.00921,0.985,-6.945,170.035
2dyfo7lqKI7NtSAhUZwnoJ,0.03,0.935,-8.49,103.479
3YBZIN3rekqsKxbJc9FZko,0.0111,0.952,-8.762,100.271
4DnEyHNO8MdhFYFrDq73BV,1.76e-06,0.94,-9.284,106.102
0OgjX682GaRCIdbqerNL6g,0.239,0.964,-8.033,140.564
2vNw57KPaYDzkyPxXYUORX,0.0117,0.992,-6.995,149.412
63HA3dpnOmdDcazJ9sDfrh,9.84e-06,0.973,-10.098,150.634
0bVtevEgtDIeRjCJbK3Lmv,0.403,0.954,-8.069,123.453
60FRsJnxV5OC0ueBwYB0yT,0.0,0.605,-6.404,144.857
0BoCuzEjDEcULyknBHf3Ii,0.0,0.259,-17.532,95.093
6lCcA1ugWuQPBCHXecSwc8,0.0,0.334,-18.603,101.622
0dKnQQ0NNs4i7DvevY0DKv,0.0,0.327,-11.839,94.996
4cZGdje7UXxBsJViy2Cs8Z,3.13e-06,0.668,-8.768,93.357
7oo3L1ZPEQSavDVSnlOvDa,0.0,0.333,-17.687,107.895
1UsAjRCSavihMYsspqJz4e,0.000235,0.407,-19.041,167.385
4XYdH6H7haUCeEm9YezQ9K,0.0014,0.44,-9.32,143.843
0ZEfn5WJYW9T7c9NdpBiNA,0.0,0.533,-10.165,151.441
5jyc2gfTkBHbIyMETSfq2u,0.0,0.562,-10.205,154.107
5iehR5VxXMZpQ5MAmlY68f,0.0,0.814,-6.701,134.221
7CdDIvw3jvjNaIs5m3mM4A,0.000291,0.404,-12.54,105.062
661Ns9G25zHdih4qVshBO7,0.000239,0.745,-7.854,99.92
5T8EDUDqKcs6OSOwEsfqG7,0.000176,0.868,-5.276,156.295
4u7EnebtmKWzUH433cf5Qv,0.0,0.404,-9.928,71.105
5vdp5UmvTsnMEMESIF2Ym7,0.312,0.528,-6.472,109.967
2x8evxqUlF0eRabbW2JBJd,0.000144,0.828,-5.377,112.056
2AT8iROs4FQueDv2c8q2KE,0.0,0.758,-5.692,97.094
3CRDbSIZ4r5MsZ0YwxuEkn,2.29e-05,0.637,-5.677,169.977
5FVd6KXrgO9B3JPmC8OPst,0.000263,0.532,-7.596,85.03
3ZV6Ry07586w52Wy1cLbLL,5.17e-05,0.742,-6.754,184.014
7HW5WIw7ZgZORCzUxv5gW5,2.87e-06,0.844,-8.824,131.459
38zsOOcu31XbbYj9BIPUF1,5.53e-06,0.315,-11.028,128.157
